DISTRICTS;YEAR;YIELD;NDVI_JUN;NDVI_JUL;NDVI_AUG;NDVI_SEP;NDVI_OCT;NDVI_NOV;LAI_JUN;LAI_JUL;LAI_AUG;LAI_SEP;LAI_OCT;LAI_NOV;ET_JUN;ET_JUL;ET_AUG;ET_SEP;ET_OCT;ET_NOV;LST_JUN;LST_JUL;LST_AUG;LST_SEP;LST_OCT;LST_NOV;RF_JUN;RF_JUL;RF_AUG;RF_SEP;RF_OCT;RF_NOV;YIELD_N1
Anuppur;2011;0.411731;0.358452;0.434819;0.524131;0.677431;0.593383;0.477271;0.567954;0.985886;0.753611;1.785671;1.553781;0.914153;4.809126;22.52501;23.41559;28.62759;18.25952;9.069739;315.729;304.0972;301.9496;301.6111;302.9698;302.2573;7.769389;9.348433;14.4528;11.88041;0.821737;0;0.402314
Ashoknagar;2011;1.178221;0.241188;0.3626;0.558422;0.523131;0.372065;0.335345;0.265376;0.5219;1.293023;1.246159;0.660577;0.497943;4.275204;18.52891;22.43402;23.98614;6.467386;4.241781;317;306.4323;302.1003;305.5666;310.7607;306.9396;7.901649;13.0237;8.544753;7.204936;0;0.008637;1.280708
Balaghat;2011;1.689655;0.456175;0.475566;0.523964;0.770839;0.696958;0.604985;0.837754;1.239571;0.677925;2.437563;2.514894;1.628823;3.357868;23.62325;20.06031;33.14646;23.66369;12.67582;313.1215;301.4853;301.6021;301.2737;301.9403;301.2473;6.776612;10.91888;19.80391;8.513394;0.416651;0.106264;1.741935
Barwani;2011;0.348127;0.18287;0.238343;0.455436;0.552991;0.44066;0.352182;0.209792;0.262409;0.640551;1.442936;0.928021;0.577877;2.573406;18.31864;19.18391;22.46905;11.39461;5.403207;315.8745;307.2567;302.0137;304.8209;309.9328;310.0919;3.33854;8.796704;12.73388;4.72115;0.40159;0.090122;0.286952
Betul;2011;1.268837;0.382777;0.331046;0.488085;0.670948;0.574909;0.476967;0.613691;0.699881;1.099906;1.83125;1.651485;1.016454;5.454965;21.35861;21.16116;31.04841;16.5085;7.873715;314.4321;304.104;301.0947;302.7792;306.196;305.7217;4.863829;11.91562;12.1593;8.255394;0.297665;0.130278;1.095832
Bhind;2011;0.823529;0.24948;0.306414;0.424379;0.381284;0.314565;0.360401;0.314225;0.457974;0.657739;0.756859;0.475572;0.605716;2.451861;8.732294;20.82769;21.43256;5.180755;4.728911;316.9995;308.1741;306.3219;308.4675;310.5947;304.8304;4.540192;9.199423;8.300885;6.002931;0.241629;0;0
Bhopal;2011;1.195364;0.298789;0.354589;0.483877;0.534873;0.394528;0.362509;0.277525;0.593572;0.961637;1.245122;0.713469;0.48669;4.217607;18.3015;19.03786;23.68224;7.757915;4.351699;317.344;306.6299;302.1743;304.9469;309.478;306.9532;5.57626;14.42142;13.03536;7.781374;0;0.033241;1.156491
Burhanpur;2011;0.547061;0.300204;0.313274;0.459045;0.622581;0.545657;0.435697;0.39911;0.424763;0.98654;1.585959;1.33523;0.835654;3.750457;20.32208;21.36081;29.07564;15.76897;7.897364;316.9047;307.4243;300.9535;303.7826;307.4562;307.6633;3.267395;8.555472;9.686904;4.811019;0.390078;0.007094;0.520148
Chhatarpur;2011;0.416415;0.322735;0.45101;0.620893;0.626832;0.471496;0.398555;0.401768;0.912055;1.257383;1.450394;0.927795;0.632292;6.647106;19.13183;25.92181;26.83816;9.62183;6.054177;317.1921;306.6209;302.9139;303.767;307.7356;304.9051;7.547691;12.18211;11.04256;6.297509;0.077373;0.00281;0.414352
Chhindwara;2011;1.802658;0.365667;0.465674;0.508033;0.694769;0.553673;0.479362;0.551047;0.986347;1.058899;1.872525;1.582201;1.025474;4.978396;22.85047;20.35574;31.04349;16.65036;8.897852;316.4237;304.9373;300.2837;303.0408;305.8035;305.1704;6.004285;14.17274;16.01983;9.993965;0.418442;0.208153;1.985665
Damoh;2011;1.287631;0.311838;0.511505;0.630067;0.636185;0.473149;0.404354;0.421784;0.976231;1.322807;1.74597;1.125226;0.729007;4.070252;20.52285;25.55862;28.43366;11.39519;6.378452;318.3055;305.7374;302.9384;304.0656;307.9561;305.8816;8.397079;14.6462;10.3387;7.020708;0.1832;0.028424;1.456819
Datia;2011;0.64598;0.288469;0.401996;0.452793;0.437278;0.352971;0.334574;0.343253;0.65902;0.836424;0.88165;0.544306;0.463611;4.581786;12.49438;21.23251;23.0709;5.83425;4.397452;315.6716;307.8317;306.1081;307.6199;310.6243;305.4094;5.245555;10.01097;7.556733;5.819148;0.221524;0;0.575385
Dewas;2011;1.288999;0.295452;0.380205;0.473339;0.568939;0.465531;0.433514;0.354702;0.736557;0.903123;1.247251;0.990941;0.707964;2.941261;20.25238;20.22076;23.11521;11.13775;6.377305;316.488;305.5057;301.0515;305.4208;308.9196;306.8783;5.002813;12.85938;13.34889;5.761767;0.055425;0.116283;1.251272
Dhar;2011;1.308;0.200132;0.247278;0.461117;0.535135;0.415554;0.382535;0.202731;0.292562;0.755784;1.461094;0.782433;0.564148;2.690152;17.92638;18.10709;21.83812;9.362536;5.090285;315.0875;308.4321;299.5118;304.8489;310.2054;308.9828;3.145563;11.23606;12.95789;4.841648;0.251778;0.125758;1.323257
Dindori;2011;0.557915;0.386956;0.479896;0.469873;0.726507;0.632655;0.531405;0.676063;1.012957;0.848593;1.89374;2.022374;1.267282;3.855986;22.59167;21.88944;33.72129;19.63863;10.54567;314.5236;302.5044;302.1562;301.4035;303.4051;302.4839;7.271405;11.16327;16.81155;9.957416;0.580226;0.029801;0.797154
Guna;2011;1.402086;0.254258;0.394003;0.541513;0.587132;0.398203;0.345172;0.284128;0.64123;1.230536;1.467563;0.80288;0.520107;4.192478;17.76075;22.15115;28.46548;8.027203;4.424032;318.1111;304.8931;302.042;304.5854;309.5556;306.9322;6.103411;12.91542;10.03012;6.944839;0;0.04287;1.192663
Gwalior;2011;1.734328;0.323898;0.457823;0.516943;0.522059;0.427033;0.363795;0.508412;0.869631;1.158937;1.466712;0.889872;0.611744;4.90236;15.09692;23.90601;28.7057;8.815738;5.408615;315.1958;308.6225;304.1344;306.2642;308.4322;305.0201;4.332697;9.323061;6.648853;6.607948;0.184668;0;1.503241
Harda;2011;1.435728;0.308821;0.458855;0.504085;0.572233;0.449134;0.416577;0.446056;0.962795;1.076835;1.311158;1.17172;0.772071;2.708745;23.35161;23.80723;25.30521;11.85746;5.862384;315.9172;303.9959;300.7661;305.2507;308.9613;307.1862;4.610546;12.00832;10.44556;7.257168;0.068508;0.110321;1.38434
